"com_code","com_annee","com_type","popref_annee","popref_mun","popref_a_part","popref_tot","popref_date_maj"
"01386","2024","COM","2022","1140","61","1201","2024-12-30"
"01387","2024","COM","2022","259","3","262","2024-12-30"
"01388","2024","COM","2022","1122","12","1134","2024-12-30"
"01389","2024","COM","2022","1910","36","1946","2024-12-30"
"01390","2024","COM","2022","1229","21","1250","2024-12-30"
"01391","2024","COM","2022","295","7","302","2024-12-30"
"01392","2024","COM","2022","645","29","674","2024-12-30"
"01393","2024","COM","2022","578","14","592","2024-12-30"
"01396","2024","COM","2022","1007","15","1022","2024-12-30"
"01397","2024","COM","2022","1003","20","1023","2024-12-30"
"01398","2024","COM","2022","1459","21","1480","2024-12-30"
"01399","2024","COM","2022","2676","52","2728","2024-12-30"
"01400","2024","COM","2022","136","4","140","2024-12-30"
"01401","2024","COM","2022","2279","76","2355","2024-12-30"
"01402","2024","COM","2022","659","10","669","2024-12-30"
"01403","2024","COM","2022","1329","41","1370","2024-12-30"
"01404","2024","COM","2022","135","2","137","2024-12-30"
"01405","2024","COM","2022","1287","26","1313","2024-12-30"
"01406","2024","COM","2022","180","2","182","2024-12-30"
"01407","2024","COM","2022","997","22","1019","2024-12-30"
"01408","2024","COM","2022","664","14","678","2024-12-30"
"01410","2024","COM","2022","287","7","294","2024-12-30"
"01411","2024","COM","2022","263","8","271","2024-12-30"
"01412","2024","COM","2022","605","14","619","2024-12-30"
"01415","2024","COM","2022","514","6","520","2024-12-30"
"01416","2024","COM","2022","1024","8","1032","2024-12-30"
"01418","2024","COM","2022","1208","22","1230","2024-12-30"
"01419","2024","COM","2022","6356","151","6507","2024-12-30"
"01420","2024","COM","2022","1644","8","1652","2024-12-30"
"01421","2024","COM","2022","744","13","757","2024-12-30"
"01422","2024","COM","2022","1389","28","1417","2024-12-30"
"01423","2024","COM","2022","1228","14","1242","2024-12-30"
"01424","2024","COM","2022","1845","45","1890","2024-12-30"
"01425","2024","COM","2022","288","6","294","2024-12-30"
"01426","2024","COM","2022","2494","53","2547","2024-12-30"
"01427","2024","COM","2022","6931","164","7095","2024-12-30"
"01428","2024","COM","2022","131","0","131","2024-12-30"
"01429","2024","COM","2022","725","14","739","2024-12-30"
"01430","2024","COM","2022","664","11","675","2024-12-30"
"01431","2024","COM","2022","1218","30","1248","2024-12-30"
"01432","2024","COM","2022","343","6","349","2024-12-30"
"01433","2024","COM","2022","296","4","300","2024-12-30"
"01434","2024","COM","2022","500","10","510","2024-12-30"
"01435","2024","COM","2022","2222","73","2295","2024-12-30"
"01436","2024","COM","2022","513","9","522","2024-12-30"
"01437","2024","COM","2022","215","5","220","2024-12-30"
"01439","2024","COM","2022","97","1","98","2024-12-30"
"01441","2024","COM","2022","727","17","744","2024-12-30"
"01443","2024","COM","2022","5059","94","5153","2024-12-30"
"01444","2024","COM","2022","1200","19","1219","2024-12-30"
"01445","2024","COM","2022","607","22","629","2024-12-30"
"01446","2024","COM","2022","1603","25","1628","2024-12-30"
