"Code","LIB","mono","enf","Dipl","voit"
"01388","Saint-Trivier-de-Courtes",17.2,10.5,4.6,85.8
"01389","Saint-Trivier-sur-Moignans",15.2,8.4,3.8,94.5
"01390","Saint-Vulbas",8.7,7.2,4.5,95.8
"01391","Salavre",5.7,5,7.6,91.9
"01392","Samognat",9.9,4.7,4.6,98.8
"01393","Sandrans",3.4,7.1,2.5,95
"01396","Sault-Brénaz",11.3,10.7,4.9,88.9
"01397","Sauverny",13.1,6.6,4.5,98.5
"01398","Savigneux",11.1,8.7,5.4,94.9
"01399","Ségny",5.1,8.2,4.3,95.4
"01400","Seillonnaz",0,12.5,5.6,93.9
"01401","Sergy",10.4,7.2,3.3,96.4
"01402","Sermoyer",7.5,7.3,5.1,92.9
"01403","Serrières-de-Briord",15.2,10.1,5.8,88.8
"01404","Serrières-sur-Ain",12.5,12.5,8.4,91.5
"01405","Servas",11,12.3,4.7,95.7
"01406","Servignat",10,10,4.3,97.5
"01407","Seyssel",21.1,8.8,5.7,89.7
"01408","Simandre-sur-Suran",23.3,9.1,5.7,95.3
"01410","Sonthonnax-la-Montagne",5,5,3.5,97.7
"01411","Souclin",13.3,6.7,5,92.5
"01412","Sulignat",8.6,14.2,3.8,96
"01415","Talissieu",4,4,5.3,96.8
"01416","Tenay",17,11.3,6.8,84.1
"01418","Thil",7.5,10,3.4,96.5
"01419","Thoiry",13.8,8.4,4.1,95
"01420","Thoissey",40.8,7.9,9,83
"01421","Torcieu",9.8,9.8,5.4,91.9
"01422","Tossiat",3.5,4.6,4.5,94.9
"01423","Toussieux",10.3,10.2,4.3,98.7
"01424","Tramoyes",14,5.3,5.2,98.1
"01425","La Tranclière",16.5,10.4,4.7,95.7
"01426","Val-Revermont",14.6,8.6,3.7,94.9
"01427","Trévoux",19.6,13.1,4.6,90.8
"01428","Valeins",0,14.3,6,97.8
"01429","Vandeins",13.9,13.5,5.4,96.6
"01430","Varambon",15.4,5.1,4,95.6
"01431","Vaux-en-Bugey",11,6.7,4.8,95.3
"01432","Verjon",11.8,12,4.3,92.4
"01433","Vernoux",6.7,13.3,3.1,100
"01434","Versailleux",10,3.3,3.3,98.3
"01435","Versonnex",11.7,9.4,3.8,97.8
"01436","Vesancy",3.7,9.8,3.8,93.5
"01437","Vescours",0,7.7,4.3,97.8
"01439","Vésines",14.3,14.3,2.7,95.2
"01441","Vieu-d'Izenave",6.9,14.1,4,93.1
"01443","Villars-les-Dombes",15.8,8.1,5.3,89.2
"01444","Villebois",16.7,9.7,5.8,94.6
"01445","Villemotier",5.6,11.1,4.8,97.6
"01446","Villeneuve",9.8,9.5,5.8,97.1
"01447","Villereversure",8,10.6,5.4,93.9
"01448","Villes",0,0,5.7,94.5
"01449","Villette-sur-Ain",2.2,8.8,18.1,96.8
"01450","Villieu-Loyes-Mollon",10.1,7.9,22.6,94.6
"01451","Viriat",10,9.5,5.2,93.9
"01452","Virieu-le-Grand",20.6,12.7,8,90
"01453","Arvière-en-Valromey",12.2,4.7,6.1,91.4
"01454","Virignin",17.2,7.8,3.8,97
"01456","Vongnes",0,0,5.3,86.1
"01457","Vonnas",15.2,12.2,4.9,88.3
"02001","Abbécourt",3.2,12.9,3.8,93.8
"02002","Achery",8.4,2.7,5.3,89
"02003","Acy",18.2,10.7,3.6,90.4
"02004","Agnicourt-et-Séchelles",18.2,9.1,4.2,91.2
"02005","Aguilcourt",4.3,7.8,7.7,97.9
"02006","Aisonville-et-Bernoville",6.2,0,8.2,88.1
"02007","Aizelles",0,0,6.9,84.9
"02008","Aizy-Jouy",5.5,17,5.2,94.5
"02009","Alaincourt",8.8,14.5,5.9,94.6
"02010","Allemant",33.3,8.3,10.7,98.5
"02011","Ambleny",7.2,9.1,5.6,91.8
"02012","Ambrief",0,0,1.8,96.4
"02013","Amifontaine",4.2,8.3,5.7,94
"02014","Amigny-Rouy",11.6,9.3,6.2,95.9
"02015","Ancienville",0,0,5,100
"02016","Andelain",16.7,16.7,4.7,96.5
"02017","Anguilcourt-le-Sart",0,12.6,2.4,90.1
"02018","Anizy-le-Grand",19.3,12,7.3,88.1
"02019","Annois",0,8.9,5.3,90
"02020","Any-Martin-Rieux",3.6,7.1,7.2,90.6
"02021","Archon",0,0,13.2,82.5
"02022","Arcy-Sainte-Restitue",12.7,12.1,5.1,93.2
"02023","Armentières-sur-Ourcq",0,0,7.7,100
"02024","Arrancy",25,0,7.7,91.3
"02025","Artemps",4.5,8.7,7.2,92.5
"02027","Assis-sur-Serre",15.4,7.7,8,91.9
"02028","Athies-sous-Laon",12.7,7,6.4,91.7
"02029","Attilly",4.2,8.3,6.3,95.1
"02030","Aubencheul-aux-Bois",6.2,4.6,7.4,84.8
"02031","Aubenton",13.2,5.2,6.8,86.2
"02032","Aubigny-aux-Kaisnes",6.7,13.3,7.1,87.5
"02033","Aubigny-en-Laonnois",0,0,10.6,95.9
"02034","Audignicourt",14.3,28.6,7.2,88.9
"02035","Audigny",14.3,14.3,6.9,90.4
"02036","Augy",25,0,3.5,81.8
"02037","Aulnois-sous-Laon",19.8,11.6,7,92.8
"02038","Les Autels",33.3,0,2.2,92.6
"02039","Autremencourt",12.5,25,6.4,91.2
"02040","Autreppes",0,10,8,91.4
"02041","Autreville",6.4,7.8,6,92.9
"02042","Azy-sur-Marne",4.4,8.4,5.4,92.1
"02043","Bagneux",75,0,4.1,88.5
"02044","Bancigny",0,50,25,90
"02046","Barenton-Bugny",14.7,8.7,6.7,93.3
"02047","Barenton-Cel",0,12.5,5.4,82
